Scene: 001_Castle_Large.blend
OBJ: Castle_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: Castle_04 | TYPE: MESH | PARENT: Castle_01
OBJ: Castle_05 | TYPE: MESH | PARENT: Castle_01
OBJ: CastleBarn_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleBarrels_01 | TYPE: MESH | PARENT: CastlePlanks_02
OBJ: CastleBarrels_03 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleBench_01 | TYPE: MESH | PARENT: CastlePlanks_02
OBJ: CastleCatapult_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleChair_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleChair_02 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleDecoration_01 | TYPE: MESH | PARENT: Castle_01
OBJ: Castledoor_01 | TYPE: MESH | PARENT: CastleStairs_01
OBJ: CastleFlag_02 | TYPE: MESH | PARENT: Castle_01
OBJ: CastleFlag_03 | TYPE: MESH | PARENT: Castle_01
OBJ: CastleFlower_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleFlower_02 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleFlower_03 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleFountain_01 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleFountain_02 | TYPE: MESH | PARENT: CastleFountain_01
OBJ: CastleGramaphone_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleGreenary_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleGreenaryGrass2_01 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass2_02 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass2_03 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass2_04 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_01 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_02 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_03 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_04 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_05 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_06 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_07 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_08 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_09 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_10 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_11 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_12 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_13 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGreenaryGrass_14 | TYPE: MESH | PARENT: CastleGreenary_01
OBJ: CastleGround_01 | TYPE: MESH | PARENT: CastleGround_04
OBJ: CastleGround_03 | TYPE: MESH | PARENT: Castle_01
OBJ: CastleGround_04 | TYPE: MESH | PARENT: None
OBJ: CastleGuitar_01 | TYPE: MESH | PARENT: CastleChair_02
OBJ: CastleHarp_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleLantern_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleLantern_02 | TYPE: MESH | PARENT: CastleGround_01
